"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2026","46,843.0","46,628.0","48,879.0","45,732.0","112.48K","2.52%"
"12/28/2025","45,690.0","46,386.0","46,465.0","45,559.0","13.52K","-1.33%"
"12/21/2025","46,308.0","46,408.0","46,455.0","45,996.0","5.90K","0.08%"
"12/14/2025","46,269.0","46,161.0","46,360.0","45,232.0","18.79K","0.38%"
"12/07/2025","46,092.0","47,298.0","47,352.0","45,978.0","25.47K","-2.09%"
"11/30/2025","47,076.0","46,689.0","47,427.0","46,400.0","25.09K","0.54%"
"11/23/2025","46,823.0","45,636.0","47,000.0","45,410.0","25.64K","4.05%"
"11/16/2025","45,002.0","46,811.0","47,078.0","44,615.0","48.27K","-3.63%"
"11/09/2025","46,697.0","47,176.0","47,970.0","45,580.0","67.25K","1.75%"
"11/02/2025","45,892.0","48,190.0","48,695.0","45,820.0","43.58K","-4.75%"
"10/26/2025","48,183.0","47,088.0","48,736.0","47,010.0","25.83K","3.27%"
"10/19/2025","46,656.0","45,457.0","46,668.0","45,347.0","38.49K","4.13%"
"10/12/2025","44,805.0","45,189.0","45,635.0","44,177.0","49.59K","-0.48%"
"10/05/2025","45,019.0","45,288.0","46,408.0","45,019.0","42.29K","-0.44%"
"09/28/2025","45,219.0","44,787.0","45,472.0","44,330.0","17.13K","1.68%"
"09/21/2025","44,470.0","44,571.0","44,860.0","44,234.0","11.74K","0.11%"
"09/14/2025","44,423.0","43,500.0","44,510.0","43,247.0","20.37K","2.26%"
"09/07/2025","43,440.0","42,920.0","43,440.0","42,840.0","9.73K","1.82%"
"08/31/2025","42,661.5","42,302.0","43,160.0","42,109.0","55.43K","0.64%"
"08/24/2025","42,389.0","42,510.0","42,925.0","42,329.0","18.72K","-0.49%"
"08/17/2025","42,596.0","42,845.0","42,918.0","41,700.0","17.30K","-0.36%"
"08/10/2025","42,751.0","42,952.0","43,193.0","42,645.0","23.94K","-0.11%"
"08/03/2025","42,799.0","42,112.0","42,995.0","42,110.0","12.65K","1.81%"
"07/27/2025","42,038.0","42,667.0","43,817.0","41,766.0","53.35K","-0.75%"
"07/20/2025","42,355.0","42,049.0","42,384.0","41,489.0","14.77K","1.02%"
"07/13/2025","41,926.0","41,194.0","42,097.0","41,061.0","26.00K","1.66%"
"07/06/2025","41,240.0","40,847.0","41,371.0","40,700.0","12.91K","1.21%"
"06/29/2025","40,745.0","40,349.0","40,995.0","39,940.0","13.06K","1.15%"
"06/22/2025","40,281.0","39,300.0","40,285.0","39,291.0","21.90K","2.36%"
"06/15/2025","39,353.0","39,105.0","39,739.0","39,034.0","24.98K","0.49%"
"06/08/2025","39,160.0","39,220.0","39,880.0","38,897.0","22.30K","-0.50%"
"06/01/2025","39,357.0","38,316.0","39,507.0","38,175.0","23.63K","1.86%"
"05/25/2025","38,639.0","38,254.0","39,604.0","38,190.0","15.42K","1.92%"
"05/18/2025","37,911.0","38,777.0","39,211.0","37,460.0","37.24K","-3.73%"
"05/11/2025","39,381.0","37,931.0","39,436.0","37,931.0","24.50K","6.81%"
"05/04/2025","36,871.0","36,537.0","37,261.0","35,921.0","19.12K","-0.10%"
"04/27/2025","36,907.0","35,666.0","36,906.0","34,892.0","36.01K","4.39%"
"04/20/2025","35,354.0","32,959.0","35,581.0","32,786.0","45.55K","5.01%"
"04/13/2025","33,666.0","35,206.0","35,553.0","33,466.0","20.62K","-1.87%"
"04/06/2025","34,307.0","31,140.0","36,219.0","30,891.0","35.72K","1.83%"
"03/30/2025","33,691.0","35,928.0","36,800.0","33,111.0","72.18K","-7.67%"
"03/23/2025","36,491.0","37,709.0","38,468.0","36,496.0","32.96K","-1.93%"
"03/16/2025","37,208.5","37,000.0","37,531.0","36,600.0","11.66K","0.24%"
"03/09/2025","37,120.0","38,089.0","38,105.0","36,400.0","33.13K","-1.14%"
"03/02/2025","37,548.0","40,588.0","40,645.0","37,548.0","41.07K","-6.25%"
"02/23/2025","40,051.0","41,976.0","42,055.0","39,622.0","36.35K","-5.68%"
"02/16/2025","42,464.0","43,014.0","43,166.0","42,367.0","13.51K","-0.71%"
"02/09/2025","42,766.0","42,581.0","43,011.0","42,313.0","10.63K","0.55%"
"02/02/2025","42,531.5","41,888.0","42,914.0","41,625.0","17.19K","-0.72%"
"01/26/2025","42,842.0","41,674.0","43,000.0","40,500.0","24.40K","0.02%"
"01/19/2025","42,831.5","42,969.0","43,459.0","42,564.0","19.22K","-0.41%"
"01/12/2025","43,006.0","41,727.0","43,114.0","41,383.0","25.33K","3.36%"
"01/05/2025","41,608.0","41,957.0","42,434.0","41,423.0","27.42K","-0.55%"
"12/29/2024","41,837.0","41,645.0","41,929.0","41,075.0","18.56K","0.53%"
"12/22/2024","41,618.5","41,713.0","42,515.0","41,462.0","18.56K","-0.03%"
"12/15/2024","41,630.0","42,150.0","42,589.0","40,560.0","51.73K","-0.86%"
"12/08/2024","41,992.5","41,513.0","42,309.0","40,935.0","12.13K","1.40%"
"12/01/2024","41,413.0","40,341.0","41,458.0","40,195.0","18.68K","2.74%"
"11/24/2024","40,309.0","40,613.0","40,790.0","39,860.0","10.64K","-0.35%"
"11/17/2024","40,450.0","39,714.0","40,620.0","39,352.0","20.52K","2.07%"
"11/10/2024","39,628.0","40,155.0","40,781.0","39,545.0","17.29K","-0.77%"
"11/03/2024","39,936.0","37,842.0","39,947.0","37,600.0","22.38K","5.22%"
"10/27/2024","37,955.0","38,646.0","38,855.0","37,642.0","17.41K","-1.64%"
"10/20/2024","38,587.0","38,062.0","38,677.0","37,910.0","22.33K","1.19%"
"10/13/2024","38,135.0","37,921.0","38,455.0","37,650.0","21.10K","0.66%"
"10/06/2024","37,885.0","37,300.0","37,980.0","36,985.0","8.93K","2.12%"
"09/29/2024","37,100.0","36,499.0","37,500.0","36,176.0","20.57K","1.52%"
"09/22/2024","36,543.0","36,483.0","37,179.0","36,031.0","16.61K","0.80%"
"09/15/2024","36,252.0","36,176.0","36,725.0","35,738.0","9.25K","-0.10%"
"09/08/2024","36,288.0","34,644.0","36,303.0","34,573.0","7.03K","5.51%"
"09/01/2024","34,393.0","36,333.0","36,496.0","34,360.0","18.66K","-4.83%"
"08/25/2024","36,139.5","36,219.0","36,476.0","35,685.0","","-0.91%"
"08/18/2024","36,470.0","36,753.0","37,356.0","36,266.0","10.36K","-1.08%"
"08/11/2024","36,868.5","35,493.0","37,215.0","35,327.0","19.73K","4.59%"
"08/04/2024","35,251.5","33,665.0","35,528.0","33,114.0","74.04K","0.46%"
