"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2026","973.30","974.90","974.90","968.56","2.20M","0.46%"
"12/28/2025","968.80","961.40","977.70","959.50","2.28M","0.84%"
"12/21/2025","960.70","959.40","963.10","956.50","1.84M","-0.25%"
"12/14/2025","963.10","944.10","963.60","940.90","5.88M","2.46%"
"12/07/2025","940.00","947.30","951.00","938.90","2.73M","-0.75%"
"11/30/2025","947.10","949.00","953.90","946.80","1.71M","-0.37%"
"11/23/2025","950.60","935.40","952.70","930.30","1.66M","2.02%"
"11/16/2025","931.80","945.80","948.10","921.40","3.54M","-1.65%"
"11/09/2025","947.40","951.20","967.40","938.60","4.31M","0.38%"
"11/02/2025","943.80","948.40","954.10","933.20","2.06M","-0.37%"
"10/26/2025","947.30","940.00","953.40","939.10","4.17M","0.71%"
"10/19/2025","940.60","913.50","940.60","913.10","4.80M","3.28%"
"10/12/2025","910.70","918.80","922.50","902.70","3.73M","-0.75%"
"10/05/2025","917.60","922.60","931.70","916.30","2.09M","-0.56%"
"09/28/2025","922.80","905.00","923.40","900.60","2.52M","2.34%"
"09/21/2025","901.70","896.70","902.90","891.60","4.03M","0.64%"
"09/14/2025","896.00","904.20","904.30","894.10","3.00M","-0.78%"
"09/07/2025","903.00","905.80","910.90","899.90","2.91M","-0.07%"
"08/31/2025","903.60","902.90","908.60","893.70","2.29M","0.24%"
"08/24/2025","901.40","909.40","911.50","900.50","2.03M","-1.35%"
"08/17/2025","913.70","898.30","916.80","894.60","1.78M","1.99%"
"08/10/2025","895.90","890.40","904.90","889.70","1.86M","0.82%"
"08/03/2025","888.60","887.00","895.60","884.10","1.19M","0.49%"
"07/27/2025","884.30","894.10","895.90","880.30","5.25M","-0.50%"
"07/20/2025","888.70","876.60","892.70","875.00","2.27M","1.43%"
"07/13/2025","876.20","871.20","878.70","870.00","2.62M","0.45%"
"07/06/2025","872.30","859.90","876.40","857.90","1.92M","1.42%"
"06/29/2025","860.10","859.40","862.00","851.20","1.63M","0.10%"
"06/22/2025","859.20","852.20","860.30","850.00","3.67M","0.47%"
"06/15/2025","855.20","862.90","866.80","855.00","3.22M","-0.83%"
