Date,Price,Open,High,Low,Vol.,Change %
01/04/2026,"6,520.0","6,394.3","6,536.0","6,351.0",2.59M,4.99%
12/28/2025,"6,210.0","6,446.0","6,460.0","6,200.0",548.06K,-3.77%
12/21/2025,"6,453.0","6,385.0","6,464.0","6,368.0",162.37K,2.23%
12/14/2025,"6,312.0","6,305.0","6,334.0","6,182.0",199.32K,1.46%
12/07/2025,"6,221.0","6,131.0","6,318.0","6,091.0",628.13K,1.34%
11/30/2025,"6,139.0","6,235.0","6,253.0","6,090.0",260.37K,-0.55%
11/23/2025,"6,173.0","6,025.0","6,175.0","6,017.0",325.18K,2.25%
11/16/2025,"6,037.0","6,026.0","6,115.0","5,920.0",541.47K,-0.18%
11/09/2025,"6,048.0","6,013.0","6,264.0","5,951.0",935.85K,2.16%
11/02/2025,"5,920.0","5,949.0","5,968.0","5,855.0",346.29K,0.49%
10/26/2025,"5,891.0","5,931.0","5,974.0","5,670.0",496.55K,-2.24%
10/19/2025,"6,026.0","6,132.0","6,300.0","5,830.0",794.72K,-2.30%
10/12/2025,"6,168.0","5,919.0","6,298.0","5,916.0",1.61M,5.71%
10/05/2025,"5,835.0","5,682.0","5,890.0","5,673.0",711.75K,4.16%
09/28/2025,"5,602.0","5,514.0","5,621.0","5,480.0",348.56K,2.38%
09/21/2025,"5,472.0","5,350.0","5,486.0","5,344.0",340.01K,3.50%
09/14/2025,"5,287.0","5,208.0","5,296.0","5,189.0",327.40K,1.24%
09/07/2025,"5,222.0","5,170.0","5,258.0","5,168.0",291.83K,1.42%
08/31/2025,"5,149.0","4,995.0","5,158.0","4,976.0",489.43K,3.94%
08/24/2025,"4,954.0","4,874.0","4,955.0","4,852.0",295.16K,2.27%
08/17/2025,"4,844.0","4,803.0","4,850.0","4,779.0",239.13K,1.25%
08/10/2025,"4,784.0","4,855.0","4,865.0","4,775.0",123.92K,-2.31%
08/03/2025,"4,897.0","4,914.0","4,952.0","4,880.0",330.35K,-0.26%
07/27/2025,"4,910.0","4,832.0","4,912.0","4,785.0",258.02K,2.04%
07/20/2025,"4,812.0","4,867.0","4,937.0","4,812.0",184.04K,-0.68%
07/13/2025,"4,845.0","4,863.0","4,868.0","4,799.0",185.90K,0.14%
07/06/2025,"4,838.0","4,721.0","4,841.0","4,691.0",299.75K,1.97%
06/29/2025,"4,744.5","4,655.0","4,786.0","4,639.0",160.52K,2.34%
06/22/2025,"4,636.0","4,851.0","4,907.0","4,608.0",279.10K,-4.57%
06/15/2025,"4,858.0","4,886.0","4,904.0","4,810.0",206.74K,-0.67%
